jurisdiction,year,month,date,census_county_name,fips_state_code,fips_county_code,fips_state_county_code,avg_daily_pop_unsentenced_male,avg_daily_pop_unsentenced_female,avg_daily_pop_sentenced_male,avg_daily_pop_sentenced_female,avg_daily_pop_total_jurisdiction,avg_felony_inmate_unsentenced,avg_felony_inmate_sentenced,avg_felony_inmate_total,avg_misdemean_inmate_unsentenced,avg_misdemean_inmate_sentenced,avg_misdemean_inmate_total,day_of_highest_count,highest_inmate_count,mental_heath_case_open_end_month,num_new_mental_health_cases,num_inmate_get_psych_meds,num_inmate_get_mental_heath_bed,num_inmates_seen_sick_call,num_doctor_occurrences,num_offsite_medical_appointment,num_dental_encounters,avg_inmate_get_sick_bed,avg_inmate_not_assign_housing,avg_own_inmate_housed_elsewhere,avg_fed_inmate_housed_contract,avg_state_inmate_housed_contract,avg_local_inmate_housed_contract,avg_inmate_wait_transport_prison,avg_inmate_in_hospital,total_num_persons_booked,tot_pretrial_release_lack_bed,tot_sentenced_release_lack_bed,total_juv_in_custody,adp_of_maximum_security_inmates,adp_of_medium_security_inmates,adp_of_minimum_security_inmates,avg_inmates_get_medical_bed,avg_inmates_get_mental_heath_bed,avg_inmate_need_reg_med_attent,avg_inmates_need_reg_ment_health
Solano Sheriff's Department,2003,april,2003-04-01,Solano County,06,095,06095,618,108,290,57,1073,682,309,991,44,38,82,2003-04-07,1117,188,NA,173,4,840,295,26,84,8,13,NA,NA,NA,0,49,5,1388,200,65,0,NA,NA,NA,NA,NA,NA,NA
Sonoma Sheriff's Department,2003,april,2003-04-01,Sonoma County,06,097,06097,481,69,418,64,1032,440,289,729,110,193,303,2003-04-28,1163,115,124,86,65,807,152,22,71,7,11,NA,NA,NA,0,8,0.2,1448,0,8,0,NA,NA,NA,NA,NA,NA,NA
Stanislaus Sheriff's Department,2003,april,2003-04-01,Stanislaus County,06,099,06099,617,88,340,66,1111,668,360,1028,37,46,83,2003-04-01,1148,79,57,81,22,1773,114,19,74,9,11,NA,NA,NA,NA,9,0,1558,429,165,0,NA,NA,NA,NA,NA,NA,NA
Sutter Sheriff's Department,2003,april,2003-04-01,Sutter County,06,101,06101,126,26,66,17,235,133,0,133,19,83,102,2003-04-18,273,3,34,13,1,571,256,35,13,3,5,11,1,0,0,10,0,485,0,0,0,NA,NA,NA,NA,NA,NA,NA
Tehama Sheriff's Department,2003,april,2003-04-01,Tehama County,06,103,06103,70,9,77,13,169,NA,NA,0,NA,NA,0,2003-04-20,182,5,13,30,0,240,39,15,4,0,2,0,0,0,1,2,0,342,0,9,0,NA,NA,NA,NA,NA,NA,NA
Trinity Sheriff's Department,2003,april,2003-04-01,Trinity County,06,105,06105,23,5,11,3,42,19,10,29,9,4,13,2003-04-29,52,4,2,NA,0,159,80,1,3,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
Tulare Sheriff's Department,2003,april,2003-04-01,Tulare County,06,107,06107,646,83,409,59,1197,478,360,838,251,108,359,2003-04-02,1233,NA,NA,NA,NA,NA,NA,54,NA,4,24,0,0,0,0,29,1,1641,309,150,0,NA,NA,NA,NA,NA,NA,NA
Tuolumne Sheriff's Department,2003,april,2003-04-01,Tuolumne County,06,109,06109,50,9,65,9,133,49,33,82,10,41,51,2003-04-23,143,37,22,16,1,99,2,0,11,10,5,0,0,0,0,7,0,397,0,0,0,NA,NA,NA,NA,NA,NA,NA
Ventura Sheriff's Department,2003,april,2003-04-01,Ventura County,06,111,06111,950,133,381,63,1527,812,222,1034,271,222,493,2003-04-16,1532,309,203,312,NA,992,487,30,168,NA,0,NA,NA,NA,0,29,NA,2441,0,NA,0,NA,NA,NA,NA,NA,NA,NA
Ventura Work Furlough,2003,april,2003-04-01,Ventura County,06,111,06111,0,0,76,21,97,NA,53,53,NA,44,44,2003-04-18,102,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,53,0,0,0,NA,NA,NA,NA,NA,NA,NA
