jurisdiction,year,quarter,census_county_name,fips_state_code,fips_county_code,fips_state_county_code,num_inmate_assaults_on_staff,money_spent_medication_last_qtr,money_spent_psych_med_last_qtr,avg_length_stay_all_releases,avg_length_stay_pretrial_release,avg_length_stay_sentnced_release,num_inmate_are_3rd_striker,num_inmate_are_2nd_striker,num_unserved_felony_warrants,num_unserved_misdemean_warrants,percent_inmates_illegal_alien
Santa Clara Probation Department,1998,2,Santa Clara County,06,085,06085,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA
Santa Clara Sheriff's Office,1998,2,Santa Clara County,06,085,06085,12,NA,NA,NA,NA,NA,236,NA,NA,NA,NA
Santa Cruz Sheriff's Department,1998,2,Santa Cruz County,06,087,06087,0,NA,NA,NA,NA,NA,9,25,2200,13000,5
Shasta Sheriff's Department,1998,2,Shasta County,06,089,06089,0,NA,NA,NA,NA,NA,5,20,975,5128,2.6
Sierra Sheriff's Department,1998,2,Sierra County,06,091,06091,0,NA,NA,NA,NA,NA,0,0,30,808,0
Siskiyou Sheriff's Department,1998,2,Siskiyou County,06,093,06093,0,NA,NA,NA,NA,NA,1,NA,NA,NA,0
Solano Sheriff's Department,1998,2,Solano County,06,095,06095,1,NA,NA,NA,NA,NA,17,1,5500,5500,3
Sonoma Sheriff's Department,1998,2,Sonoma County,06,097,06097,9,NA,NA,NA,NA,NA,4,74,1368,25106,3
Stanislaus Sheriff's Department,1998,2,Stanislaus County,06,099,06099,2,NA,NA,NA,NA,NA,28,NA,NA,NA,5
Sutter Sheriff's Department,1998,2,Sutter County,06,101,06101,0,NA,NA,NA,NA,NA,13,5,0,0,3
Tehama Sheriff's Department,1998,2,Tehama County,06,103,06103,0,NA,NA,NA,NA,NA,2,NA,NA,NA,37
Trinity Sheriff's Department,1998,2,Trinity County,06,105,06105,0,NA,NA,NA,NA,NA,0,0,148,1565,0
Tuolumne Sheriff's Department,1998,2,Tuolumne County,06,109,06109,0,NA,NA,NA,NA,NA,4,6,212,1098,0
Ventura Sheriff's Department,1998,2,Ventura County,06,111,06111,9,NA,NA,NA,NA,NA,12,25,2900,85000,8
Yolo Sheriff's Department,1998,2,Yolo County,06,113,06113,3,NA,NA,NA,NA,NA,0,0,2927,3210,6
Yuba Sheriff's Department,1998,2,Yuba County,06,115,06115,0,NA,NA,NA,NA,NA,6,15,78,392,3
Alameda Sheriff's Department,1998,1,Alameda County,06,001,06001,15,NA,NA,NA,NA,NA,82,199,4919,30761,8
Amador Sheriff's Department,1998,1,Amador County,06,005,06005,0,NA,NA,NA,NA,NA,0,4,NA,NA,0
Butte Sheriff's Department,1998,1,Butte County,06,007,06007,0,NA,NA,NA,NA,NA,NA,NA,346,4077,0
Calaveras Sheriff's Department,1998,1,Calaveras County,06,009,06009,0,NA,NA,NA,NA,NA,0,0,171,3919,1
Colusa Sheriff's Department,1998,1,Colusa County,06,011,06011,0,NA,NA,NA,NA,NA,1,0,NA,NA,5
Contra Costa Sheriff's Department,1998,1,Contra Costa County,06,013,06013,11,NA,NA,NA,NA,NA,119,0,3087,32075,5
Del Norte Sheriff's Department,1998,1,Del Norte County,06,015,06015,1,NA,NA,NA,NA,NA,1,1,234,1100,1
El Dorado Sheriff's Department,1998,1,El Dorado County,06,017,06017,1,NA,NA,NA,NA,NA,5,9,352,4495,1
Fresno Sheriff's Department,1998,1,Fresno County,06,019,06019,6,NA,NA,NA,NA,NA,51,110,8984,118362,7
Glenn Sheriff's Department,1998,1,Glenn County,06,021,06021,1,NA,NA,NA,NA,NA,2,4,449,4918,9
Humboldt Sheriff's Department,1998,1,Humboldt County,06,023,06023,2,NA,NA,NA,NA,NA,3,NA,452,13517,0
Imperial Sheriff's Department,1998,1,Imperial County,06,025,06025,0,NA,NA,NA,NA,NA,0,1,NA,NA,25
Inyo Sheriff's Department,1998,1,Inyo County,06,027,06027,0,NA,NA,NA,NA,NA,0,3,NA,NA,6
Kern Sheriff's Department,1998,1,Kern County,06,029,06029,9,NA,NA,NA,NA,NA,NA,NA,4232,39833,3
Kings Sheriff's Department,1998,1,Kings County,06,031,06031,0,NA,NA,NA,NA,NA,14,NA,NA,NA,NA
Lake Sheriff's Department,1998,1,Lake County,06,033,06033,0,NA,NA,NA,NA,NA,0,0,0,0,NA
Lassen Sheriff's Department,1998,1,Lassen County,06,035,06035,0,NA,NA,NA,NA,NA,0,0,111,2098,0
Los Angeles Sheriff's Department,1998,1,Los Angeles County,06,037,06037,32,NA,NA,NA,NA,NA,725,1300,88697,924990,17
Scapular House,1998,1,Los Angeles County,06,037,06037,0,NA,NA,NA,NA,NA,0,4,NA,NA,3
Madera Corrections Department,1998,1,Madera County,06,039,06039,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Marin Sheriff's Department,1998,1,Marin County,06,041,06041,0,NA,NA,NA,NA,NA,10,4,1700,13550,17
Mariposa Sheriff's Department,1998,1,Mariposa County,06,043,06043,0,NA,NA,NA,NA,NA,0,3,144,1709,0
Mendocino Sheriff's Department,1998,1,Mendocino County,06,045,06045,1,NA,NA,NA,NA,NA,1,1,400,10400,5
Merced Sheriff's Department,1998,1,Merced County,06,047,06047,0,NA,NA,NA,NA,NA,13,23,2449,29624,14
Modoc Sheriff's Department,1998,1,Modoc County,06,049,06049,0,NA,NA,NA,NA,NA,1,2,153,1908,0
Mono Sheriff's Department,1998,1,Mono County,06,051,06051,0,NA,NA,NA,NA,NA,0,0,2880,8028,1
Monterey Sheriff's Department,1998,1,Monterey County,06,053,06053,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Napa Corrections Department,1998,1,Napa County,06,055,06055,0,NA,NA,NA,NA,NA,NA,NA,5000,15000,0
Nevada Sheriff's Department,1998,1,Nevada County,06,057,06057,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Orange Sheriff's Department,1998,1,Orange County,06,059,06059,7,NA,NA,NA,NA,NA,211,228,15854,197341,8.3
Santa Ana Police Department,1998,1,Orange County,06,059,06059,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,55
Placer Sheriff's Department,1998,1,Placer County,06,061,06061,1,NA,NA,NA,NA,NA,7,11,754,13681,NA
Plumas Sheriff's Department,1998,1,Plumas County,06,063,06063,0,NA,NA,NA,NA,NA,0,0,123,555,0
Riverside Sheriff's Department,1998,1,Riverside County,06,065,06065,0,NA,NA,NA,NA,NA,12,18,9870,165146,13.950000000000001
Sacramento Sheriff's Department,1998,1,Sacramento County,06,067,06067,7,NA,NA,NA,NA,NA,114,169,5429,74033,5
San Benito Sheriff's Department,1998,1,San Benito County,06,069,06069,0,NA,NA,NA,NA,NA,0,NA,NA,NA,8
San Bernardino Sheriff's Department,1998,1,San Bernardino County,06,071,06071,8,NA,NA,NA,NA,NA,76,162,10649,53402,16
San Diego Probation Department,1998,1,San Diego County,06,073,06073,0,NA,NA,NA,NA,NA,0,0,0,0,6
San Diego Sheriff's Department,1998,1,San Diego County,06,073,06073,15,NA,NA,NA,NA,NA,25,47,15129,38307,NA
San Diego Work Furlough,1998,1,San Diego County,06,073,06073,0,NA,NA,NA,NA,NA,0,0,0,0,NA
San Francisco Sheriff's Department,1998,1,San Francisco County,06,075,06075,9,NA,NA,NA,NA,NA,NA,NA,368,204,NA
San Joaquin Sheriff's Department,1998,1,San Joaquin County,06,077,06077,0,NA,NA,NA,NA,NA,34,45,NA,NA,9
San Luis Obispo Sheriff's Department,1998,1,San Luis Obispo County,06,079,06079,3,NA,NA,NA,NA,NA,1,5,NA,NA,4.8
San Mateo Sheriff's Department,1998,1,San Mateo County,06,081,06081,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
Santa Barbara Sheriff's Department,1998,1,Santa Barbara County,06,083,06083,1,NA,NA,NA,NA,NA,3,4,1585,20339,25
Santa Clara Probation Department,1998,1,Santa Clara County,06,085,06085,0,NA,NA,NA,NA,NA,0,0,0,0,NA
Santa Clara Sheriff's Office,1998,1,Santa Clara County,06,085,06085,12,NA,NA,NA,NA,NA,236,NA,NA,NA,NA
Santa Cruz Sheriff's Department,1998,1,Santa Cruz County,06,087,06087,0,NA,NA,NA,NA,NA,7,14,2208,13361,4
Shasta Sheriff's Department,1998,1,Shasta County,06,089,06089,2,NA,NA,NA,NA,NA,2,3,964,4728,3
Sierra Sheriff's Department,1998,1,Sierra County,06,091,06091,0,NA,NA,NA,NA,NA,0,0,27,764,0
Siskiyou Sheriff's Department,1998,1,Siskiyou County,06,093,06093,0,NA,NA,NA,NA,NA,1,NA,NA,NA,0
Solano Sheriff's Department,1998,1,Solano County,06,095,06095,17,NA,NA,NA,NA,NA,16,3,5500,5500,2
Sonoma Sheriff's Department,1998,1,Sonoma County,06,097,06097,9,NA,NA,NA,NA,NA,0,45,1395,26380,5
Stanislaus Sheriff's Department,1998,1,Stanislaus County,06,099,06099,2,NA,NA,NA,NA,NA,49,NA,NA,NA,5
Sutter Sheriff's Department,1998,1,Sutter County,06,101,06101,2,NA,NA,NA,NA,NA,27,17,235,3255,21
Tehama Sheriff's Department,1998,1,Tehama County,06,103,06103,0,NA,NA,NA,NA,NA,3,NA,NA,NA,35
Trinity Sheriff's Department,1998,1,Trinity County,06,105,06105,0,NA,NA,NA,NA,NA,0,1,134,1532,0
Tulare Sheriff's Department,1998,1,Tulare County,06,107,06107,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tuolumne Sheriff's Department,1998,1,Tuolumne County,06,109,06109,1,NA,NA,NA,NA,NA,3,10,210,1195,0
Ventura Sheriff's Department,1998,1,Ventura County,06,111,06111,1,NA,NA,NA,NA,NA,15,28,2935,85220,2.9
Ventura Work Furlough,1998,1,Ventura County,06,111,06111,0,NA,NA,NA,NA,NA,0,0,0,0,0
Yolo Sheriff's Department,1998,1,Yolo County,06,113,06113,1,NA,NA,NA,NA,NA,0,0,2715,3144,3
Yuba Sheriff's Department,1998,1,Yuba County,06,115,06115,0,NA,NA,NA,NA,NA,4,12,74,368,3
Alameda Sheriff's Department,1997,4,Alameda County,06,001,06001,14,NA,NA,NA,NA,NA,97,179,5040,31748,12
Amador Sheriff's Department,1997,4,Amador County,06,005,06005,1,NA,NA,NA,NA,NA,0,5,NA,NA,0
Butte Sheriff's Department,1997,4,Butte County,06,007,06007,0,NA,NA,NA,NA,NA,NA,NA,418,3947,0
Calaveras Sheriff's Department,1997,4,Calaveras County,06,009,06009,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0
Colusa Sheriff's Department,1997,4,Colusa County,06,011,06011,0,NA,NA,NA,NA,NA,0,0,NA,NA,7.9
Contra Costa Sheriff's Department,1997,4,Contra Costa County,06,013,06013,11,NA,NA,NA,NA,NA,119,0,3087,32075,5
Del Norte Sheriff's Department,1997,4,Del Norte County,06,015,06015,0,NA,NA,NA,NA,NA,2,1,NA,NA,1
El Dorado Sheriff's Department,1997,4,El Dorado County,06,017,06017,1,NA,NA,NA,NA,NA,3,9,379,6027,1
Fresno Sheriff's Department,1997,4,Fresno County,06,019,06019,5,NA,NA,NA,NA,NA,45,83,8901,116118,18
Glenn Sheriff's Department,1997,4,Glenn County,06,021,06021,0,NA,NA,NA,NA,NA,2,1,261,4347,5
Humboldt Sheriff's Department,1997,4,Humboldt County,06,023,06023,3,NA,NA,NA,NA,NA,4,NA,444,14450,0
Imperial Sheriff's Department,1997,4,Imperial County,06,025,06025,0,NA,NA,NA,NA,NA,0,1,NA,NA,25
Inyo Sheriff's Department,1997,4,Inyo County,06,027,06027,1,NA,NA,NA,NA,NA,0,3,NA,NA,6
Kern Sheriff's Department,1997,4,Kern County,06,029,06029,8,NA,NA,NA,NA,NA,NA,NA,4196,40245,NA
Kings Sheriff's Department,1997,4,Kings County,06,031,06031,0,NA,NA,NA,NA,NA,8,NA,NA,NA,NA
Lake Sheriff's Department,1997,4,Lake County,06,033,06033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lassen Sheriff's Department,1997,4,Lassen County,06,035,06035,0,NA,NA,NA,NA,NA,0,0,110,2072,0
Los Angeles Sheriff's Department,1997,4,Los Angeles County,06,037,06037,35,NA,NA,NA,NA,NA,706,1246,88486,930468,17
Scapular House,1997,4,Los Angeles County,06,037,06037,0,NA,NA,NA,NA,NA,0,8,NA,NA,12
Madera Corrections Department,1997,4,Madera County,06,039,06039,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marin Sheriff's Department,1997,4,Marin County,06,041,06041,2,NA,NA,NA,NA,NA,9,2,1640,12450,16
Mariposa Sheriff's Department,1997,4,Mariposa County,06,043,06043,0,NA,NA,NA,NA,NA,1,5,120,1348,0
Mendocino Sheriff's Department,1997,4,Mendocino County,06,045,06045,0,NA,NA,NA,NA,NA,1,3,400,10500,15
Merced Sheriff's Department,1997,4,Merced County,06,047,06047,0,NA,NA,NA,NA,NA,0,10,2513,29532,16
Modoc Sheriff's Department,1997,4,Modoc County,06,049,06049,0,NA,NA,NA,NA,NA,2,1,120,1982,2
Mono Sheriff's Department,1997,4,Mono County,06,051,06051,0,NA,NA,NA,NA,NA,0,0,2400,6690,1
Monterey Sheriff's Department,1997,4,Monterey County,06,053,06053,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Napa Corrections Department,1997,4,Napa County,06,055,06055,2,NA,NA,NA,NA,NA,NA,NA,5000,15000,0
Nevada Sheriff's Department,1997,4,Nevada County,06,057,06057,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Orange Sheriff's Department,1997,4,Orange County,06,059,06059,8,NA,NA,NA,NA,NA,192,195,15407,199175,8.1
Santa Ana Police Department,1997,4,Orange County,06,059,06059,1,NA,NA,NA,NA,NA,0,0,0,0,51
Placer Sheriff's Department,1997,4,Placer County,06,061,06061,0,NA,NA,NA,NA,NA,10,10,742,13795,NA
Plumas Sheriff's Department,1997,4,Plumas County,06,063,06063,0,NA,NA,NA,NA,NA,1,0,109,553,0
Riverside Sheriff's Department,1997,4,Riverside County,06,065,06065,0,NA,NA,NA,NA,NA,7,16,9659,164107,13.69
Sacramento Sheriff's Department,1997,4,Sacramento County,06,067,06067,7,NA,NA,NA,NA,NA,114,169,5429,74033,5
San Benito Sheriff's Department,1997,4,San Benito County,06,069,06069,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
San Bernardino Sheriff's Department,1997,4,San Bernardino County,06,071,06071,19,NA,NA,NA,NA,NA,76,150,10540,52796,10
San Diego Probation Department,1997,4,San Diego County,06,073,06073,0,NA,NA,NA,NA,NA,0,0,0,0,6
San Diego Sheriff's Department,1997,4,San Diego County,06,073,06073,7,NA,NA,NA,NA,NA,17,37,15098,39419,0
San Diego Work Furlough,1997,4,San Diego County,06,073,06073,0,NA,NA,NA,NA,NA,0,0,0,0,0
San Francisco Sheriff's Department,1997,4,San Francisco County,06,075,06075,33,NA,NA,NA,NA,NA,NA,NA,316,212,NA
San Joaquin Sheriff's Department,1997,4,San Joaquin County,06,077,06077,0,NA,NA,NA,NA,NA,31,40,NA,NA,9
San Luis Obispo Sheriff's Department,1997,4,San Luis Obispo County,06,079,06079,0,NA,NA,NA,NA,NA,4,10,912,21831,4.7
San Mateo Sheriff's Department,1997,4,San Mateo County,06,081,06081,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2
Santa Barbara Sheriff's Department,1997,4,Santa Barbara County,06,083,06083,2,NA,NA,NA,NA,NA,3,5,1515,19960,24
Santa Clara Probation Department,1997,4,Santa Clara County,06,085,06085,0,NA,NA,NA,NA,NA,0,0,0,0,NA
Santa Clara Sheriff's Office,1997,4,Santa Clara County,06,085,06085,12,NA,NA,NA,NA,NA,236,NA,NA,NA,NA
Santa Cruz Sheriff's Department,1997,4,Santa Cruz County,06,087,06087,0,NA,NA,NA,NA,NA,6,5,9310,9310,3
Shasta Sheriff's Department,1997,4,Shasta County,06,089,06089,4,NA,NA,NA,NA,NA,22,3,922,4639,1
Siskiyou Sheriff's Department,1997,4,Siskiyou County,06,093,06093,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Solano Sheriff's Department,1997,4,Solano County,06,095,06095,6,NA,NA,NA,NA,NA,14,6,11000,0,2
Sonoma Sheriff's Department,1997,4,Sonoma County,06,097,06097,7,NA,NA,NA,NA,NA,1,44,1369,27624,8
Stanislaus Sheriff's Department,1997,4,Stanislaus County,06,099,06099,5,NA,NA,NA,NA,NA,45,NA,NA,NA,5
Sutter Sheriff's Department,1997,4,Sutter County,06,101,06101,0,NA,NA,NA,NA,NA,NA,NA,255,3883,17
Tehama Sheriff's Department,1997,4,Tehama County,06,103,06103,0,NA,NA,NA,NA,NA,2,NA,NA,NA,35
Trinity Sheriff's Department,1997,4,Trinity County,06,105,06105,0,NA,NA,NA,NA,NA,1,0,132,1489,0
Tulare Sheriff's Department,1997,4,Tulare County,06,107,06107,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tuolumne Sheriff's Department,1997,4,Tuolumne County,06,109,06109,0,NA,NA,NA,NA,NA,3,6,202,1265,0
Ventura Sheriff's Department,1997,4,Ventura County,06,111,06111,5,NA,NA,NA,NA,NA,23,29,2928,85202,4
Ventura Work Furlough,1997,4,Ventura County,06,111,06111,0,NA,NA,NA,NA,NA,0,0,0,0,0
Yolo Sheriff's Department,1997,4,Yolo County,06,113,06113,3,NA,NA,NA,NA,NA,0,0,2397,3438,6
Yuba Sheriff's Department,1997,4,Yuba County,06,115,06115,3,NA,NA,NA,NA,NA,5,15,68,349,3
Alameda Sheriff's Department,1997,3,Alameda County,06,001,06001,15,NA,NA,NA,NA,NA,96,276,5019,33242,5
Amador Sheriff's Department,1997,3,Amador County,06,005,06005,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Butte Sheriff's Department,1997,3,Butte County,06,007,06007,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Calaveras Sheriff's Department,1997,3,Calaveras County,06,009,06009,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Colusa Sheriff's Department,1997,3,Colusa County,06,011,06011,0,NA,NA,NA,NA,NA,0,0,NA,NA,7
Contra Costa Sheriff's Department,1997,3,Contra Costa County,06,013,06013,8,NA,NA,NA,NA,NA,157,0,3529,30500,5
Del Norte Sheriff's Department,1997,3,Del Norte County,06,015,06015,0,NA,NA,NA,NA,NA,0,3,358,968,1
El Dorado Sheriff's Department,1997,3,El Dorado County,06,017,06017,1,NA,NA,NA,NA,NA,4,8,351,5865,1
Fresno Sheriff's Department,1997,3,Fresno County,06,019,06019,3,NA,NA,NA,NA,NA,47,94,8765,117933,25
Glenn Sheriff's Department,1997,3,Glenn County,06,021,06021,0,NA,NA,NA,NA,NA,1,2,258,4367,9
Humboldt Sheriff's Department,1997,3,Humboldt County,06,023,06023,3,NA,NA,NA,NA,NA,4,NA,444,14450,0
Imperial Sheriff's Department,1997,3,Imperial County,06,025,06025,0,NA,NA,NA,NA,NA,0.01,11,NA,NA,25
Inyo Sheriff's Department,1997,3,Inyo County,06,027,06027,2,NA,NA,NA,NA,NA,0,2,NA,NA,5
Kern Sheriff's Department,1997,3,Kern County,06,029,06029,5,NA,NA,NA,NA,NA,NA,NA,4160,41000,NA
Kings Sheriff's Department,1997,3,Kings County,06,031,06031,0,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
Lassen Sheriff's Department,1997,3,Lassen County,06,035,06035,0,NA,NA,NA,NA,NA,0,0,89,1960,0
Los Angeles Sheriff's Department,1997,3,Los Angeles County,06,037,06037,58,NA,NA,NA,NA,NA,706,1246,87796,934870,17
Scapular House,1997,3,Los Angeles County,06,037,06037,0,NA,NA,NA,NA,NA,0,15,0,0,25
Madera Corrections Department,1997,3,Madera County,06,039,06039,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Marin Sheriff's Department,1997,3,Marin County,06,041,06041,1,NA,NA,NA,NA,NA,17,11,1550,11150,18
Mariposa Sheriff's Department,1997,3,Mariposa County,06,043,06043,0,NA,NA,NA,NA,NA,1,4,120,1338,0
Mendocino Sheriff's Department,1997,3,Mendocino County,06,045,06045,0,NA,NA,NA,NA,NA,0,3,400,10500,15
Merced Sheriff's Department,1997,3,Merced County,06,047,06047,1,NA,NA,NA,NA,NA,6,7,2455,30185,17
Modoc Sheriff's Department,1997,3,Modoc County,06,049,06049,0,NA,NA,NA,NA,NA,2,2,118,2357,1
Mono Sheriff's Department,1997,3,Mono County,06,051,06051,0,NA,NA,NA,NA,NA,0,0,2059,6670,1
Monterey Sheriff's Department,1997,3,Monterey County,06,053,06053,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Napa Corrections Department,1997,3,Napa County,06,055,06055,1,NA,NA,NA,NA,NA,NA,NA,5000,15000,2
Nevada Sheriff's Department,1997,3,Nevada County,06,057,06057,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Orange Sheriff's Department,1997,3,Orange County,06,059,06059,9,NA,NA,NA,NA,NA,172,176,15166,201008,8.2
Santa Ana Police Department,1997,3,Orange County,06,059,06059,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
Placer Sheriff's Department,1997,3,Placer County,06,061,06061,0,NA,NA,NA,NA,NA,8,13,781,14056,NA
Plumas Sheriff's Department,1997,3,Plumas County,06,063,06063,0,NA,NA,NA,NA,NA,0,0,114,645,0
Riverside Sheriff's Department,1997,3,Riverside County,06,065,06065,0,NA,NA,NA,NA,NA,8,20,9502,159583,13.52
Sacramento Sheriff's Department,1997,3,Sacramento County,06,067,06067,15,NA,NA,NA,NA,NA,106,151,0,0,0
San Benito Sheriff's Department,1997,3,San Benito County,06,069,06069,0,NA,NA,NA,NA,NA,1,NA,NA,NA,0
San Bernardino Sheriff's Department,1997,3,San Bernardino County,06,071,06071,4,NA,NA,NA,NA,NA,87,165,10495,52323,14
San Diego Probation Department,1997,3,San Diego County,06,073,06073,0,NA,NA,NA,NA,NA,0,0,0,0,6
San Diego Sheriff's Department,1997,3,San Diego County,06,073,06073,12,NA,NA,NA,NA,NA,19,37,15052,43203,NA
San Francisco Sheriff's Department,1997,3,San Francisco County,06,075,06075,39,NA,NA,NA,NA,NA,NA,NA,182,284,0
San Joaquin Sheriff's Department,1997,3,San Joaquin County,06,077,06077,0,NA,NA,NA,NA,NA,28,50,NA,NA,10
San Luis Obispo Sheriff's Department,1997,3,San Luis Obispo County,06,079,06079,0,NA,NA,NA,NA,NA,1,3,912,21831,5
San Mateo Sheriff's Department,1997,3,San Mateo County,06,081,06081,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
Santa Barbara Sheriff's Department,1997,3,Santa Barbara County,06,083,06083,3,NA,NA,NA,NA,NA,3,8,1506,19358,24
Santa Clara Probation Department,1997,3,Santa Clara County,06,085,06085,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA
Santa Clara Sheriff's Office,1997,3,Santa Clara County,06,085,06085,12,NA,NA,NA,NA,NA,236,NA,NA,NA,NA
Santa Cruz Sheriff's Department,1997,3,Santa Cruz County,06,087,06087,2,NA,NA,NA,NA,NA,8,25,10535,10535,2
Shasta Sheriff's Department,1997,3,Shasta County,06,089,06089,3,NA,NA,NA,NA,NA,26,13,908,4479,2
Siskiyou Sheriff's Department,1997,3,Siskiyou County,06,093,06093,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Solano Sheriff's Department,1997,3,Solano County,06,095,06095,9,NA,NA,NA,NA,NA,14,6,11000,0,2
Sonoma Sheriff's Department,1997,3,Sonoma County,06,097,06097,11,NA,NA,NA,NA,NA,1,42,1331,28009,6
Stanislaus Sheriff's Department,1997,3,Stanislaus County,06,099,06099,1,NA,NA,NA,NA,NA,32,NA,NA,NA,3
Sutter Sheriff's Department,1997,3,Sutter County,06,101,06101,7,NA,NA,NA,NA,NA,3,15,742,2421,19
Tehama Sheriff's Department,1997,3,Tehama County,06,103,06103,0,NA,NA,NA,NA,NA,1,NA,NA,NA,28
Trinity Sheriff's Department,1997,3,Trinity County,06,105,06105,0,NA,NA,NA,NA,NA,1,2,134,1450,0
Tulare Sheriff's Department,1997,3,Tulare County,06,107,06107,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tuolumne Sheriff's Department,1997,3,Tuolumne County,06,109,06109,0,NA,NA,NA,NA,NA,4,7,210,2073,0
Ventura Sheriff's Department,1997,3,Ventura County,06,111,06111,4,NA,NA,NA,NA,NA,20,28,2825,84722,5
Yolo Sheriff's Department,1997,3,Yolo County,06,113,06113,0,NA,NA,NA,NA,NA,0,0,1826,2738,1
Yuba Sheriff's Department,1997,3,Yuba County,06,115,06115,0,NA,NA,NA,NA,NA,4,20,84,265,0
Alameda Sheriff's Department,1997,2,Alameda County,06,001,06001,13,NA,NA,NA,NA,NA,79,173,4920,33414,0
Amador Sheriff's Department,1997,2,Amador County,06,005,06005,0,NA,NA,NA,NA,NA,0,3,NA,NA,0
Butte Sheriff's Department,1997,2,Butte County,06,007,06007,0,NA,NA,NA,NA,NA,NA,NA,561,5965,0
Calaveras Sheriff's Department,1997,2,Calaveras County,06,009,06009,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
Colusa Sheriff's Department,1997,2,Colusa County,06,011,06011,0,NA,NA,NA,NA,NA,0,0,NA,NA,6
Contra Costa Sheriff's Department,1997,2,Contra Costa County,06,013,06013,8,NA,NA,NA,NA,NA,157,0,3529,30500,5
Del Norte Sheriff's Department,1997,2,Del Norte County,06,015,06015,3,NA,NA,NA,NA,NA,3,26,36,170,0
El Dorado Sheriff's Department,1997,2,El Dorado County,06,017,06017,0,NA,NA,NA,NA,NA,4,3,405,6213,1
Fresno Sheriff's Department,1997,2,Fresno County,06,019,06019,2,NA,NA,NA,NA,NA,41,79,8701,112332,2
Glenn Sheriff's Department,1997,2,Glenn County,06,021,06021,0,NA,NA,NA,NA,NA,0,0,425,4874,1.1
Humboldt Sheriff's Department,1997,2,Humboldt County,06,023,06023,3,NA,NA,NA,NA,NA,4,NA,444,14450,0
Imperial Sheriff's Department,1997,2,Imperial County,06,025,06025,0,NA,NA,NA,NA,NA,0.03,0.05,NA,NA,25
Inyo Sheriff's Department,1997,2,Inyo County,06,027,06027,0,NA,NA,NA,NA,NA,0,2,NA,NA,5
Kern Sheriff's Department,1997,2,Kern County,06,029,06029,5,NA,NA,NA,NA,NA,NA,NA,4423,42193,NA
Kings Sheriff's Department,1997,2,Kings County,06,031,06031,0,NA,NA,NA,NA,NA,8,NA,NA,NA,NA
Lake Sheriff's Department,1997,2,Lake County,06,033,06033,0,NA,NA,NA,NA,NA,0,0,0,0,0
Lassen Sheriff's Department,1997,2,Lassen County,06,035,06035,0,NA,NA,NA,NA,NA,1,1,350,4200,0
Los Angeles Sheriff's Department,1997,2,Los Angeles County,06,037,06037,66,NA,NA,NA,NA,NA,726,1226,87515,948497,17
Scapular House,1997,2,Los Angeles County,06,037,06037,0,NA,NA,NA,NA,NA,0,0,0,0,25
Madera Corrections Department,1997,2,Madera County,06,039,06039,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Marin Sheriff's Department,1997,2,Marin County,06,041,06041,1,NA,NA,NA,NA,NA,10,11,1475,10025,12
Mariposa Sheriff's Department,1997,2,Mariposa County,06,043,06043,1,NA,NA,NA,NA,NA,1,0,121,1327,0
Mendocino Sheriff's Department,1997,2,Mendocino County,06,045,06045,0,NA,NA,NA,NA,NA,3,9,400,10400,15
Merced Sheriff's Department,1997,2,Merced County,06,047,06047,0,NA,NA,NA,NA,NA,12,10,2329,30252,19
Modoc Sheriff's Department,1997,2,Modoc County,06,049,06049,0,NA,NA,NA,NA,NA,2,1,125,2290,1
Mono Sheriff's Department,1997,2,Mono County,06,051,06051,0,NA,NA,NA,NA,NA,1,0,2019,6730,1
Monterey Sheriff's Department,1997,2,Monterey County,06,053,06053,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
