jurisdiction,year,quarter,census_county_name,fips_state_code,fips_county_code,fips_state_county_code,num_inmate_assaults_on_staff,money_spent_medication_last_qtr,money_spent_psych_med_last_qtr,avg_length_stay_all_releases,avg_length_stay_pretrial_release,avg_length_stay_sentnced_release,num_inmate_are_3rd_striker,num_inmate_are_2nd_striker,num_unserved_felony_warrants,num_unserved_misdemean_warrants,percent_inmates_illegal_alien
El Dorado Sheriff's Department,2019,3,El Dorado County,06,017,06017,2,88714,20430,23.3,12.1,63,NA,NA,NA,NA,NA
Fresno Sheriff's Department,2019,3,Fresno County,06,019,06019,6,327414,90006,34.1,18.7,24.5,NA,NA,NA,NA,NA
Glenn Sheriff's Department,2019,3,Glenn County,06,021,06021,2,5263,502,47,37,31,NA,NA,NA,NA,NA
Humboldt Sheriff's Department,2019,3,Humboldt County,06,023,06023,6,44079,13097,11.7,8.7,41.9,NA,NA,NA,NA,NA
Imperial Sheriff's Department,2019,3,Imperial County,06,025,06025,4,26118,4304,NA,NA,NA,NA,NA,NA,NA,NA
Inyo Sheriff's Department,2019,3,Inyo County,06,027,06027,0,31702,23048,191,NA,NA,NA,NA,NA,NA,NA
Kern Sheriff's Department,2019,3,Kern County,06,029,06029,3,432461,222563,24,16.06,38.339999999999996,NA,NA,NA,NA,NA
Kings Sheriff's Department,2019,3,Kings County,06,031,06031,2,74174,14397,34,6,83,NA,NA,NA,NA,NA
Lake Sheriff's Department,2019,3,Lake County,06,033,06033,NA,53183,9915,NA,NA,NA,NA,NA,NA,NA,NA
Lassen Sheriff's Department,2019,3,Lassen County,06,035,06035,0,14592,5750,18,6,85,NA,NA,NA,NA,NA
Los Angeles Sheriff's Department,2019,3,Los Angeles County,06,037,06037,NA,8898735,2404178,62,6,64,NA,NA,NA,NA,NA
Madera Corrections Department,2019,3,Madera County,06,039,06039,3,21239,12427,35,5,87,NA,NA,NA,NA,NA
Marin Sheriff's Department,2019,3,Marin County,06,041,06041,NA,70418,13560,18,12,44,NA,NA,NA,NA,NA
Mariposa Sheriff's Department,2019,3,Mariposa County,06,043,06043,0,8326,3225,14.8,11.8,29.7,NA,NA,NA,NA,NA
Mendocino Sheriff's Department,2019,3,Mendocino County,06,045,06045,10,64730,20201,23.97,2.4,54.42,NA,NA,NA,NA,NA
