"","county","date","pretrial_release","sentenced_release"
"1844","Butte County",2017-10-01,4,28
"1845","Colusa County",2017-10-01,8.06,51.49
"1846","Del Norte County",2017-10-01,4.47,41.8
"1847","El Dorado County",2017-10-01,12.7,64
"1848","Fresno County",2017-10-01,28,37
"1849","Glenn County",2017-10-01,42,48
"1850","Humboldt County",2017-10-01,8.93,45.84
"1851","Imperial County",2017-10-01,10,12
"1852","Kern County",2017-10-01,17.5,59.1
"1853","Los Angeles County",2017-10-01,5,61
"1854","Madera County",2017-10-01,10,52
"1855","Marin County",2017-10-01,12,47
"1856","Merced County",2017-10-01,23.6,38.8
"1857","Monterey County",2017-10-01,24.3,39.9
"1858","Napa County",2017-10-01,20,21
"1859","Orange County",2017-10-01,1.4,42.7
"1860","Plumas County",2017-10-01,15.3,23.3
"1861","Sacramento County",2017-10-01,25,64
"1862","San Benito County",2017-10-01,10,49
"1863","San Diego County",2017-10-01,12.1,78.5
"1864","San Francisco County",2017-10-01,12,89
"1865","San Joaquin County",2017-10-01,6,56
"1866","San Mateo County",2017-10-01,7,69
"1867","Santa Barbara County",2017-10-01,16,21
"1868","Santa Clara County",2017-10-01,46,108
"1869","Siskiyou County",2017-10-01,4,28
"1870","Sonoma County",2017-10-01,12,57
"1871","Stanislaus County",2017-10-01,7,88
"1872","Tulare County",2017-10-01,32,76
"1873","Alameda County",2018-01-01,27,60
"1874","Amador County",2018-01-01,2.9,49.3
"1875","Butte County",2018-01-01,4,27
"1876","Colusa County",2018-01-01,11.25,45.32
"1877","Del Norte County",2018-01-01,8,46.5
"1878","El Dorado County",2018-01-01,13,73
"1879","Fresno County",2018-01-01,23.2,30.5
"1880","Glenn County",2018-01-01,46,42
"1881","Humboldt County",2018-01-01,8.35,46.76
"1882","Imperial County",2018-01-01,10,10
"1883","Kern County",2018-01-01,19.5,61.02
"1884","Lassen County",2018-01-01,3.3,76.07
"1885","Los Angeles County",2018-01-01,5.36,63.04
"1886","Madera County",2018-01-01,4,55
"1887","Marin County",2018-01-01,15,51
"1888","Merced County",2018-01-01,36.9,40.3
"1889","Monterey County",2018-01-01,23.3,36.6
"1890","Napa County",2018-01-01,21,19
"1891","Orange County",2018-01-01,1.4,47.7
"1892","Plumas County",2018-01-01,10.3,21.6
"1893","Sacramento County",2018-01-01,26,62
"1894","San Benito County",2018-01-01,14,53
"1895","San Diego County",2018-01-01,11.8,78.6
"1896","San Diego County",2018-01-01,40.78,75.92
"1897","San Francisco County",2018-01-01,14.1,107.3
"1898","San Joaquin County",2018-01-01,6,66
"1899","San Mateo County",2018-01-01,7,68
"1900","Santa Barbara County",2018-01-01,17,48
"1901","Santa Clara County",2018-01-01,51,114
"1902","Siskiyou County",2018-01-01,5,28
"1903","Sonoma County",2018-01-01,9,57
"1904","Stanislaus County",2018-01-01,9,81
"1905","Tulare County",2018-01-01,15.9,76.3
"1906","Alameda County",2018-04-01,36,67
"1907","Amador County",2018-04-01,3.2,64
"1908","Butte County",2018-04-01,4,34
"1909","Colusa County",2018-04-01,5.46,71.71
"1910","Del Norte County",2018-04-01,7.01,43.8
"1911","El Dorado County",2018-04-01,9.4,56.6
"1912","Fresno County",2018-04-01,24.5,39
"1913","Glenn County",2018-04-01,49,46
"1914","Humboldt County",2018-04-01,10.29,45.59
"1915","Imperial County",2018-04-01,7,6
"1916","Kern County",2018-04-01,16,58
"1917","Lassen County",2018-04-01,6.7,67.78
"1918","Los Angeles County",2018-04-01,5.2,62.46
"1919","Madera County",2018-04-01,17,50
"1920","Marin County",2018-04-01,14,47
"1921","Mariposa County",2018-04-01,16.8,34.3
"1922","Merced County",2018-04-01,25.6,41.1
"1923","Monterey County",2018-04-01,21.3,41
"1924","Napa County",2018-04-01,21,18
"1925","Orange County",2018-04-01,1.4,41.7
"1926","Plumas County",2018-04-01,14.1,21.8
"1927","Sacramento County",2018-04-01,29,60
"1928","San Benito County",2018-04-01,6,51
"1929","San Bernardino County",2018-04-01,109.82,137.61
"1930","San Diego County",2018-04-01,12.5,77.5
"1931","San Diego County",2018-04-01,70.5,89.78
"1932","San Francisco County",2018-04-01,9.9,94.48
"1933","San Joaquin County",2018-04-01,4,30
"1934","San Mateo County",2018-04-01,6,58
"1935","Santa Clara County",2018-04-01,47,103
"1936","Siskiyou County",2018-04-01,4,39
"1937","Sonoma County",2018-04-01,8,54
"1938","Stanislaus County",2018-04-01,8,84
"1939","Tulare County",2018-04-01,17,85
"1940","Alameda County",2018-07-01,17,61
"1941","Amador County",2018-07-01,2.7,60.6
"1942","Butte County",2018-07-01,5,29
"1943","Colusa County",2018-07-01,12.29,56.14
"1944","Del Norte County",2018-07-01,4.96,38.5
"1945","El Dorado County",2018-07-01,8.4,57.9
"1946","Fresno County",2018-07-01,25.3,30.9
"1947","Glenn County",2018-07-01,37,42
"1948","Humboldt County",2018-07-01,7,45
"1949","Inyo County",2018-07-01,156,69
"1950","Kern County",2018-07-01,12.01,36.93
"1951","Lassen County",2018-07-01,4.92,55.67
"1952","Los Angeles County",2018-07-01,6,61
"1953","Madera County",2018-07-01,6,46
"1954","Marin County",2018-07-01,12,43
"1955","Mariposa County",2018-07-01,8.8,32
"1956","Modoc County",2018-07-01,126,37
"1957","Mono County",2018-07-01,118,40
"1958","Monterey County",2018-07-01,21.6,36.8
"1959","Napa County",2018-07-01,19,21
"1960","Orange County",2018-07-01,1.3,44.5
"1961","Plumas County",2018-07-01,12.1,9.7
"1962","Sacramento County",2018-07-01,25,60
"1963","San Benito County",2018-07-01,9.9,50.8
"1964","San Bernardino County",2018-07-01,105,140
"1965","San Diego County",2018-07-01,13,71.3
"1966","San Diego County",2018-07-01,56,74.08
"1967","San Francisco County",2018-07-01,11.75,96.03
"1968","San Joaquin County",2018-07-01,4,48
"1969","San Mateo County",2018-07-01,5,70
"1970","Santa Barbara County",2018-07-01,20,46
"1971","Santa Clara County",2018-07-01,39,99
"1972","Siskiyou County",2018-07-01,4,36
"1973","Solano County",2018-07-01,5,70.6
"1974","Sonoma County",2018-07-01,7,54
"1975","Stanislaus County",2018-07-01,7,76
"1976","Tulare County",2018-07-01,14,86
"1977","Alameda County",2018-10-01,20,58
"1978","Amador County",2018-10-01,3.2,71.8
"1979","Butte County",2018-10-01,5,30
"1980","Colusa County",2018-10-01,8.28,61.8
"1981","Del Norte County",2018-10-01,2.9,32.6
"1982","El Dorado County",2018-10-01,10.6,65.6
"1983","Fresno County",2018-10-01,19.9,28.5
"1984","Humboldt County",2018-10-01,9.38,42.67
"1985","Inyo County",2018-10-01,126,35
"1986","Kern County",2018-10-01,15,39
"1987","Kings County",2018-10-01,9,75
"1988","Lassen County",2018-10-01,7.77,62.32
"1989","Los Angeles County",2018-10-01,5,61
"1990","Madera County",2018-10-01,5,69
"1991","Marin County",2018-10-01,12,45
"1992","Modoc County",2018-10-01,101,33
"1993","Monterey County",2018-10-01,21.7,38.7
"1994","Napa County",2018-10-01,25,26
"1995","Orange County",2018-10-01,1.4,47.2
"1996","Placer County",2018-10-01,16.29,69.75
"1997","Plumas County",2018-10-01,11,19
"1998","Sacramento County",2018-10-01,24,63
"1999","San Benito County",2018-10-01,10.4,49.5
"2000","San Bernardino County",2018-10-01,97,137
"2001","San Diego County",2018-10-01,12.6,73.5
"2002","San Diego County",2018-10-01,50.84,72.85
"2003","San Francisco County",2018-10-01,10,79
"2004","San Joaquin County",2018-10-01,5,40
"2005","San Mateo County",2018-10-01,6,73
"2006","Santa Barbara County",2018-10-01,20,53
"2007","Santa Clara County",2018-10-01,47,104
"2008","Siskiyou County",2018-10-01,5,35
"2009","Solano County",2018-10-01,13.8,77.4
"2010","Sonoma County",2018-10-01,7,55
"2011","Stanislaus County",2018-10-01,8,79
"2012","Tulare County",2018-10-01,25,80
"2013","Alameda County",2019-01-01,23,60
"2014","Amador County",2019-01-01,2.99,51.88
"2015","Butte County",2019-01-01,4,29
"2016","Colusa County",2019-01-01,10.21,45.7
"2017","Del Norte County",2019-01-01,5.2,34.5
"2018","El Dorado County",2019-01-01,14.5,67.7
"2019","Fresno County",2019-01-01,27.7,29.4
"2020","Glenn County",2019-01-01,51,35
"2021","Humboldt County",2019-01-01,8.43,52.24
"2022","Inyo County",2019-01-01,122,83
"2023","Kern County",2019-01-01,13.27,38.17
"2024","Kings County",2019-01-01,8,79
"2025","Lassen County",2019-01-01,4.5,86.13
"2026","Los Angeles County",2019-01-01,6,62
"2027","Madera County",2019-01-01,4,76
"2028","Marin County",2019-01-01,12,48
"2029","Mariposa County",2019-01-01,9.6,51.1
"2030","Merced County",2019-01-01,24.7,44.9
"2031","Modoc County",2019-01-01,133,23
"2032","Mono County",2019-01-01,102,9
"2033","Monterey County",2019-01-01,19.4,36.9
"2034","Napa County",2019-01-01,27,23
"2035","Orange County",2019-01-01,1.4,47.7
"2036","Placer County",2019-01-01,17.46,71.3
"2037","Plumas County",2019-01-01,12,28
"2038","Sacramento County",2019-01-01,29,66
"2039","San Benito County",2019-01-01,5.6,54
"2040","San Bernardino County",2019-01-01,97,127
"2041","San Diego County",2019-01-01,13.2,78.7
"2042","San Diego County",2019-01-01,42.67,71.96
"2043","San Joaquin County",2019-01-01,5,44
"2044","San Mateo County",2019-01-01,6,76
"2045","Santa Barbara County",2019-01-01,19,51
"2046","Santa Clara County",2019-01-01,46,102
"2047","Siskiyou County",2019-01-01,5,40
"2048","Solano County",2019-01-01,15.8,77.4
"2049","Sonoma County",2019-01-01,10,49
"2050","Stanislaus County",2019-01-01,10,67
"2051","Tulare County",2019-01-01,19,86
"2052","Alameda County",2019-04-01,21,62
"2053","Amador County",2019-04-01,4.75,70.22
"2054","Butte County",2019-04-01,4,27
"2055","Colusa County",2019-04-01,8.03,45.98
"2056","Del Norte County",2019-04-01,3,34
"2057","El Dorado County",2019-04-01,8.4,63.7
"2058","Fresno County",2019-04-01,22.7,31.3
"2059","Glenn County",2019-04-01,34,40
"2060","Humboldt County",2019-04-01,7.76,40.27
"2061","Kern County",2019-04-01,16.18,36.35
"2062","Kings County",2019-04-01,10,74
"2063","Lassen County",2019-04-01,6,68
"2064","Los Angeles County",2019-04-01,5,62
"2065","Madera County",2019-04-01,4,96
"2066","Marin County",2019-04-01,14,43
"2067","Mariposa County",2019-04-01,8.5,33.1
"2068","Merced County",2019-04-01,23.9,39.5
"2069","Modoc County",2019-04-01,94,38
"2070","Mono County",2019-04-01,92,31
"2071","Monterey County",2019-04-01,21.3,31.6
"2072","Napa County",2019-04-01,24,22
"2073","Orange County",2019-04-01,1.3,50.7
"2074","Placer County",2019-04-01,17.06,74.22
"2075","Plumas County",2019-04-01,9.3,24.4
"2076","Sacramento County",2019-04-01,27,63
"2077","San Benito County",2019-04-01,8.4,44.1
"2078","San Bernardino County",2019-04-01,107,118
"2079","San Diego County",2019-04-01,12.3,74.1
"2080","San Diego County",2019-04-01,41.47,77.5
"2081","San Francisco County",2019-04-01,12,87
"2082","San Joaquin County",2019-04-01,4,46
"2083","San Mateo County",2019-04-01,7,70
"2084","Santa Barbara County",2019-04-01,18,44
"2085","Santa Clara County",2019-04-01,46,96
"2086","Siskiyou County",2019-04-01,7,32
"2087","Solano County",2019-04-01,5.6,77.2
"2088","Sonoma County",2019-04-01,8,51
"2089","Stanislaus County",2019-04-01,7,68
"2090","Tulare County",2019-04-01,21,81
"2091","Alameda County",2019-07-01,19,62
"2092","Amador County",2019-07-01,3.58,53.84
"2093","Butte County",2019-07-01,5,28
"2094","Colusa County",2019-07-01,4.51,47.86
"2095","Del Norte County",2019-07-01,4.6,37.6
"2096","El Dorado County",2019-07-01,12.1,63
"2097","Fresno County",2019-07-01,18.7,24.5
"2098","Glenn County",2019-07-01,37,31
"2099","Humboldt County",2019-07-01,8.7,41.9
"2100","Kern County",2019-07-01,16.06,38.34
"2101","Kings County",2019-07-01,6,83
"2102","Lassen County",2019-07-01,6,85
"2103","Los Angeles County",2019-07-01,6,64
"2104","Madera County",2019-07-01,5,87
"2105","Marin County",2019-07-01,12,44
"2106","Mariposa County",2019-07-01,11.8,29.7
"2107","Mendocino County",2019-07-01,2.4,54.42
"2108","Merced County",2019-07-01,21.1,36.9
"2109","Modoc County",2019-07-01,76,29
"2110","Mono County",2019-07-01,115,31
"2111","Monterey County",2019-07-01,17,32.2
"2112","Napa County",2019-07-01,26,23
"2113","Orange County",2019-07-01,1.4,42.7
"2114","Placer County",2019-07-01,15.1,69.15
"2115","Plumas County",2019-07-01,12.6,13
"2116","Sacramento County",2019-07-01,29,66
"2117","San Benito County",2019-07-01,13,38
"2118","San Bernardino County",2019-07-01,122,114
"2119","San Diego County",2019-07-01,12.6,72.8
"2120","San Diego County",2019-07-01,73.7,81.4
"2121","San Francisco County",2019-07-01,14,63
"2122","San Joaquin County",2019-07-01,4,41
"2123","San Mateo County",2019-07-01,6,63
"2124","Santa Clara County",2019-07-01,39,100
"2125","Solano County",2019-07-01,5.4,82.4
"2126","Sonoma County",2019-07-01,10,52
"2127","Stanislaus County",2019-07-01,6,66
"2128","Tulare County",2019-07-01,17,70
"2129","Alameda County",2019-10-01,21,67
"2130","Amador County",2019-10-01,4.85,46.02
"2131","Butte County",2019-10-01,5,30
"2132","Colusa County",2019-10-01,13.54,54.41
"2133","Del Norte County",2019-10-01,6.9,36.8
"2134","El Dorado County",2019-10-01,11.3,62.1
"2135","Fresno County",2019-10-01,22.8,25.1
"2136","Glenn County",2019-10-01,40,41
"2137","Humboldt County",2019-10-01,8.7,41.9
"2138","Inyo County",2019-10-01,87,40
"2139","Kern County",2019-10-01,14.08,39.56
"2140","Kings County",2019-10-01,8,85
"2141","Lassen County",2019-10-01,7,89
"2142","Los Angeles County",2019-10-01,5,64
"2143","Madera County",2019-10-01,6,93
"2144","Marin County",2019-10-01,11,14
"2145","Mendocino County",2019-10-01,3,65
"2146","Merced County",2019-10-01,25.1,44.3
"2147","Modoc County",2019-10-01,75,54
"2148","Mono County",2019-10-01,93,38
"2149","Monterey County",2019-10-01,24.7,39.2
"2150","Napa County",2019-10-01,25,24
"2151","Orange County",2019-10-01,1.3,42.8
"2152","Placer County",2019-10-01,15.48,65.24
"2153","Plumas County",2019-10-01,10,24
"2154","Sacramento County",2019-10-01,30,57
"2155","San Benito County",2019-10-01,10.6,46
"2156","San Bernardino County",2019-10-01,121,126
"2157","San Diego County",2019-10-01,15.3,72.9
"2158","San Diego County",2019-10-01,42.4,69.7
"2159","San Francisco County",2019-10-01,13.08,72.1
"2160","San Joaquin County",2019-10-01,4,44
"2161","San Mateo County",2019-10-01,8,63
"2162","Santa Clara County",2019-10-01,45,105
"2163","Siskiyou County",2019-10-01,7,33
"2164","Solano County",2019-10-01,6,101.1
"2165","Sonoma County",2019-10-01,11,55
"2166","Stanislaus County",2019-10-01,8,77
"2167","Tulare County",2019-10-01,21,75
"2168","Alameda County",2020-01-01,20,55
"2169","Amador County",2020-01-01,2.93,64.95
"2170","Butte County",2020-01-01,5,30
"2171","Colusa County",2020-01-01,6.25,49.91
"2172","Del Norte County",2020-01-01,7.7,50.9
"2173","El Dorado County",2020-01-01,14.5,67.3
"2174","Fresno County",2020-01-01,21.6,20.1
"2175","Glenn County",2020-01-01,42,26
"2176","Humboldt County",2020-01-01,10.7,43.92
"2177","Kern County",2020-01-01,17.44,35.26
"2178","Kings County",2020-01-01,10,85
"2179","Lassen County",2020-01-01,8.5,96.6
"2180","Los Angeles County",2020-01-01,9,83
"2181","Madera County",2020-01-01,6,107
"2182","Marin County",2020-01-01,32,43
"2183","Mariposa County",2020-01-01,7.1,50.7
"2184","Mendocino County",2020-01-01,3,57
"2185","Modoc County",2020-01-01,69,28
"2186","Mono County",2020-01-01,81,44
"2187","Monterey County",2020-01-01,24.7,31
"2188","Napa County",2020-01-01,28,25
"2189","Orange County",2020-01-01,1.3,43.4
"2190","Placer County",2020-01-01,16.37,67.45
"2191","Plumas County",2020-01-01,11,46
"2192","Sacramento County",2020-01-01,27,57
"2193","San Benito County",2020-01-01,11,39
"2194","San Bernardino County",2020-01-01,124,132
"2195","San Diego County",2020-01-01,15.2,74.9
"2196","San Diego County",2020-01-01,47.42,63.38
"2197","San Francisco County",2020-01-01,19.7,100.67
"2198","San Joaquin County",2020-01-01,4,47
"2199","San Mateo County",2020-01-01,9,71
"2200","Santa Barbara County",2020-01-01,17.75,52
"2201","Santa Clara County",2020-01-01,44,110
"2202","Siskiyou County",2020-01-01,5,32
"2203","Solano County",2020-01-01,7.1,80.4
"2204","Sonoma County",2020-01-01,13,54
"2205","Stanislaus County",2020-01-01,8,78
"2206","Tehama County",2020-01-01,0,45
"2207","Trinity County",2020-01-01,7,21
"2208","Tulare County",2020-01-01,19,82
