"","county","date","pretrial_release","sentenced_release"
"459","Fresno County",2006-01-01,23.34,75.21
"460","Glenn County",2006-01-01,9,25
"461","Humboldt County",2006-01-01,12,43
"462","Inyo County",2006-01-01,20,59
"463","Los Angeles County",2006-01-01,43.82,46.04
"464","Madera County",2006-01-01,6,50
"465","Marin County",2006-01-01,15.5,46.9
"466","Mariposa County",2006-01-01,16,16
"467","Mendocino County",2006-01-01,17.3,14
"468","Modoc County",2006-01-01,2,16.9
"469","Napa County",2006-01-01,3.5,11.5
"470","Orange County",2006-01-01,1.2,39.7
"471","Orange County",2006-01-01,15,32
"472","Plumas County",2006-01-01,4,24
"473","San Benito County",2006-01-01,6,51
"474","San Diego County",2006-01-01,5.5,73.4
"475","San Joaquin County",2006-01-01,60,16
"476","San Mateo County",2006-01-01,11,21
"477","Santa Barbara County",2006-01-01,9,54
"478","Santa Clara County",2006-01-01,135,124
"479","Shasta County",2006-01-01,5.6,82.3
"480","Siskiyou County",2006-01-01,13,21
"481","Sonoma County",2006-01-01,4.9,56.8
"482","Stanislaus County",2006-01-01,7,73
"483","Trinity County",2006-01-01,7,43
"484","Tulare County",2006-01-01,26.03,51.79
"485","Alameda County",2006-04-01,20,60
"486","Amador County",2006-04-01,17,83
"487","Colusa County",2006-04-01,6.54,19.29
"488","Del Norte County",2006-04-01,9.2,24.4
"489","El Dorado County",2006-04-01,2.7,62.2
"490","Fresno County",2006-04-01,21.41,76.42
"491","Glenn County",2006-04-01,9,25
"492","Humboldt County",2006-04-01,12.46,44.79
"493","Inyo County",2006-04-01,18,50
"494","Los Angeles County",2006-04-01,27.66,53.97
"495","Madera County",2006-04-01,5,54
"496","Marin County",2006-04-01,13.2,47.4
"497","Mariposa County",2006-04-01,12,16
"498","Modoc County",2006-04-01,1.97,25.55
"499","Orange County",2006-04-01,1.3,40.2
"500","Orange County",2006-04-01,15,32
"501","Plumas County",2006-04-01,3.16,28.06
"502","Riverside County",2006-04-01,7.73,44.19
"503","San Benito County",2006-04-01,20,99
"504","San Diego County",2006-04-01,5.6,73.4
"505","San Joaquin County",2006-04-01,55,15
"506","San Mateo County",2006-04-01,14,21
"507","Santa Barbara County",2006-04-01,8,50
"508","Santa Clara County",2006-04-01,140,114
"509","Shasta County",2006-04-01,10.1,47.3
"510","Siskiyou County",2006-04-01,17,29
"511","Sonoma County",2006-04-01,5.7,62.3
"512","Stanislaus County",2006-04-01,6,80
"513","Trinity County",2006-04-01,7,90
"514","Tulare County",2006-04-01,29.39,54.84
"515","Alameda County",2006-07-01,20,63
"516","Amador County",2006-07-01,24,96
"517","Colusa County",2006-07-01,5.58,16.69
"518","Del Norte County",2006-07-01,11.8,15.8
"519","El Dorado County",2006-07-01,6.9,63.9
"520","Fresno County",2006-07-01,23.11,73.09
"521","Glenn County",2006-07-01,8,24
"522","Humboldt County",2006-07-01,11.7,45.06
"523","Inyo County",2006-07-01,13,46
"524","Los Angeles County",2006-07-01,39.6,44.71
"525","Madera County",2006-07-01,6,45
"526","Marin County",2006-07-01,12.6,50.2
"527","Mariposa County",2006-07-01,12,16
"528","Modoc County",2006-07-01,2.5,29.3
"529","Napa County",2006-07-01,12,45
"530","Orange County",2006-07-01,1.2,35.2
"531","Orange County",2006-07-01,2,96
"532","Plumas County",2006-07-01,3.66,21
"533","Riverside County",2006-07-01,6.05,54.66
"534","San Benito County",2006-07-01,20.9,33.6
"535","San Diego County",2006-07-01,4.7,71.7
"536","San Joaquin County",2006-07-01,50,16
"537","San Mateo County",2006-07-01,12,22
"538","Santa Barbara County",2006-07-01,7,51
"539","Santa Clara County",2006-07-01,134,117
"540","Shasta County",2006-07-01,14.6,12.4
"541","Siskiyou County",2006-07-01,12,24
"542","Sonoma County",2006-07-01,5.8,50.6
"543","Stanislaus County",2006-07-01,7,64
"544","Trinity County",2006-07-01,5,47
"545","Tulare County",2006-07-01,35.55,73.38
"546","Alameda County",2006-10-01,21,62
"547","Amador County",2006-10-01,26,92
"548","Colusa County",2006-10-01,7.3,17.1
"549","Del Norte County",2006-10-01,14,17
"550","El Dorado County",2006-10-01,3.5,75
"551","Fresno County",2006-10-01,23.8,82.65
"552","Glenn County",2006-10-01,24,13
"553","Humboldt County",2006-10-01,14,51
"554","Inyo County",2006-10-01,14,52
"555","Los Angeles County",2006-10-01,47.3,47.53
"556","Madera County",2006-10-01,6,56
"557","Marin County",2006-10-01,12.6,45.5
"558","Mariposa County",2006-10-01,14,14
"559","Modoc County",2006-10-01,3.88,24.42
"560","Orange County",2006-10-01,1.2,36
"561","Orange County",2006-10-01,2,92
"562","Plumas County",2006-10-01,2.97,29.27
"563","Riverside County",2006-10-01,9.29,58.1
"564","San Benito County",2006-10-01,33,95
"565","San Diego County",2006-10-01,5.6,75.1
"566","San Joaquin County",2006-10-01,51,17
"567","San Mateo County",2006-10-01,12,20.5
"568","Santa Barbara County",2006-10-01,8,48
"569","Santa Clara County",2006-10-01,132,121
"570","Shasta County",2006-10-01,18.4,189.5
"571","Siskiyou County",2006-10-01,9,17
"572","Sonoma County",2006-10-01,5.1,58.9
"573","Stanislaus County",2006-10-01,8,64
"574","Trinity County",2006-10-01,12,60
"575","Tulare County",2006-10-01,16.39,64.23
"576","Alameda County",2007-01-01,20.15,59.6
"577","Amador County",2007-01-01,16,52
"578","Colusa County",2007-01-01,6.14,23.18
"579","Del Norte County",2007-01-01,4.7,18.5
"580","El Dorado County",2007-01-01,2.54,53.22
"581","Fresno County",2007-01-01,25.08,83.27
"582","Glenn County",2007-01-01,9,20
"583","Humboldt County",2007-01-01,9,46
"584","Inyo County",2007-01-01,7,61
"585","Los Angeles County",2007-01-01,39.78,57.25
"586","Madera County",2007-01-01,5,53
"587","Marin County",2007-01-01,14,53.3
"588","Mariposa County",2007-01-01,14,12
"589","Modoc County",2007-01-01,2.5,29.3
"590","Orange County",2007-01-01,1.2,35.1
"591","Orange County",2007-01-01,2,94
"592","Plumas County",2007-01-01,7.7,14.1
"593","Riverside County",2007-01-01,13.32,45.45
"594","San Benito County",2007-01-01,23,86
"595","San Diego County",2007-01-01,5.8,73.5
"596","San Joaquin County",2007-01-01,38,18
"597","San Mateo County",2007-01-01,15,22
"598","Santa Barbara County",2007-01-01,9,55
"599","Santa Clara County",2007-01-01,133,119
"600","Shasta County",2007-01-01,28,19.7
"601","Siskiyou County",2007-01-01,10,19
"602","Sonoma County",2007-01-01,4.8,56.1
"603","Stanislaus County",2007-01-01,6,80
"604","Trinity County",2007-01-01,3,73
"605","Tulare County",2007-01-01,15.83,59.88
"606","Alameda County",2007-04-01,22.03,61.04
"607","Amador County",2007-04-01,4.28,10.61
"608","Colusa County",2007-04-01,6.2,22.46
"609","Del Norte County",2007-04-01,18,21
"610","El Dorado County",2007-04-01,3.3,61.42
"611","Glenn County",2007-04-01,7,25
"612","Humboldt County",2007-04-01,9,43
"613","Inyo County",2007-04-01,4,41
"614","Los Angeles County",2007-04-01,26.43,51.55
"615","Madera County",2007-04-01,7,50
"616","Marin County",2007-04-01,14.5,55.5
"617","Mariposa County",2007-04-01,15,13
"618","Modoc County",2007-04-01,10,30.5
"619","Napa County",2007-04-01,14.5,22.7
"620","Orange County",2007-04-01,1.2,41.5
"621","Orange County",2007-04-01,2,91
"622","Plumas County",2007-04-01,5.6,9.8
"623","Riverside County",2007-04-01,10.67,57.8
"624","San Diego County",2007-04-01,5.7,73.4
"625","San Joaquin County",2007-04-01,46,19
"626","San Mateo County",2007-04-01,16,23
